Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BeforeSale,Chrome 87.0.4280.88,,,2020-12-28 19:37:37,2020-12-28 19:39:31,1m - 53.794s,ERROR
,,,,,,,
Test Cases/Login,Chrome 87.0.4280.88,,,2020-12-28 19:37:39,2020-12-28 19:37:59,20.582s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:37:39,2020-12-28 19:37:54,15.174s,PASSED
,,,,,,,
Test Cases/Route,Chrome 87.0.4280.88,,,2020-12-28 19:37:59,2020-12-28 19:38:15,15.885s,ERROR
com.application.appmanager.get_next_route_number(),Chrome 87.0.4280.88,,,2020-12-28 19:38:00,2020-12-28 19:38:01,0.784s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-28 19:38:01,2020-12-28 19:38:01,0.014s,PASSED
"click(findTestObject(""Route/Dashboard/span_Route Planning""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:01,2020-12-28 19:38:01,0.219s,PASSED
"click(findTestObject(""Route/Dashboard/a_Add Route""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:01,2020-12-28 19:38:02,1.531s,PASSED
"setText(findTestObject(""Route/Add Route/Route Number_field""), currentRouteNumber.toString())",Chrome 87.0.4280.88,,,2020-12-28 19:38:02,2020-12-28 19:38:03,0.301s,PASSED
"click(findTestObject(""Route/Add Route/clickoutside""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:03,2020-12-28 19:38:03,0.201s,PASSED
"click(findTestObject(""Route/Add Route/sectionDropdown""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:03,2020-12-28 19:38:03,0.232s,PASSED
"setText(findTestObject(""Route/Add Route/input_select2""), ""D"")",Chrome 87.0.4280.88,,,2020-12-28 19:38:03,2020-12-28 19:38:03,0.262s,PASSED
"sendKeys(findTestObject(""Route/Add Route/input_select2""), Keys.chord(ARROW_DOWN))",Chrome 87.0.4280.88,,,2020-12-28 19:38:03,2020-12-28 19:38:03,0.133s,PASSED
"sendKeys(findTestObject(""Route/Add Route/input_select2""), Keys.chord(ENTER))",Chrome 87.0.4280.88,,,2020-12-28 19:38:03,2020-12-28 19:38:04,0.165s,PASSED
"click(findTestObject(""Route/Add Route/button_Create Route""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:04,2020-12-28 19:38:04,0.189s,PASSED
"waitForElementPresent(findTestObject(""Route/Add Route/routeConfirmation""), 5)",Chrome 87.0.4280.88,,,2020-12-28 19:38:04,2020-12-28 19:38:04,0.650s,PASSED
com.application.appmanager.store_used_route(),Chrome 87.0.4280.88,,,2020-12-28 19:38:04,2020-12-28 19:38:05,0.142s,PASSED
"click(findTestObject(""Route/Add Route/a_Route Planning""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:05,2020-12-28 19:38:05,0.208s,PASSED
"click(findTestObject(""Route/Add Route/a_Browse Route""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:05,2020-12-28 19:38:06,1.166s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 87.0.4280.88,,,2020-12-28 19:38:06,2020-12-28 19:38:06,0.032s,PASSED
"click(findTestObject(""Route/Browse Routes/a_last""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:06,2020-12-28 19:38:07,1.462s,PASSED
"scrollToPosition(0, 0)",Chrome 87.0.4280.88,,,2020-12-28 19:38:07,2020-12-28 19:38:07,0.023s,PASSED
