Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AfterSell,Chrome 87.0.4280.88,,,2020-12-30 12:51:08,2020-12-30 12:52:20,1m - 11.915s,PASSED
,,,,,,,
Test Cases/Login,Chrome 87.0.4280.88,,,2020-12-30 12:51:09,2020-12-30 12:51:26,16.575s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-30 12:51:09,2020-12-30 12:51:21,11.255s,PASSED
,,,,,,,
Test Cases/Report SSS,Chrome 87.0.4280.88,,,2020-12-30 12:51:26,2020-12-30 12:52:11,44.901s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-30 12:51:26,2020-12-30 12:51:26,0.009s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-30 12:51:26,2020-12-30 12:51:27,0.569s,PASSED
"click(findTestObject(""Object Repository/Report SSS/span_Reports""))",Chrome 87.0.4280.88,,,2020-12-30 12:51:27,2020-12-30 12:51:27,0.165s,PASSED
"click(findTestObject(""Object Repository/Report SSS/a_SSS""))",Chrome 87.0.4280.88,,,2020-12-30 12:51:27,2020-12-30 12:51:29,2.000s,PASSED
"click(findTestObject(""Object Repository/Report SSS/button_Get Report""))",Chrome 87.0.4280.88,,,2020-12-30 12:51:29,2020-12-30 12:51:40,11.716s,PASSED
delay(5),Chrome 87.0.4280.88,,,2020-12-30 12:51:40,2020-12-30 12:51:45,5.020s,PASSED
"Table = driver.findElement(By.xpath(""//table[@class=""DT table table-striped table-content table-condensed boo-table table-hover bg-blue-light dataTable DTFC_Cloned""]/tbody""))",Chrome 87.0.4280.88,,,2020-12-30 12:51:45,2020-12-30 12:51:45,0.031s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 87.0.4280.88,,,2020-12-30 12:51:45,2020-12-30 12:51:46,0.025s,PASSED
rows_count = rows_table.size(),Chrome 87.0.4280.88,,,2020-12-30 12:51:46,2020-12-30 12:51:46,0.001s,PASSED
"for ([row = 0, row < rows_count, (row++)])",Chrome 87.0.4280.88,,,2020-12-30 12:51:46,2020-12-30 12:52:06,20.095s,PASSED
,,,,,,,
Test Cases/Dashboard,Chrome 87.0.4280.88,,,2020-12-30 12:52:11,2020-12-30 12:52:17,6.211s,PASSED
com.application.appmanager.go_to_dashboard(),Chrome 87.0.4280.88,,,2020-12-30 12:52:11,2020-12-30 12:52:12,1.036s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 87.0.4280.88,,,2020-12-30 12:52:17,2020-12-30 12:52:20,3.132s,PASSED
com.application.Auth.logOutFromApplication(),Chrome 87.0.4280.88,,,2020-12-30 12:52:17,2020-12-30 12:52:20,3.000s,PASSED
